"","logFC","logCPM","LR","PValue","FDR"
"CORO2B",-2.06683215210744,2.79811302832591,209.429422218857,1.82957615803492e-47,1.86449077828743e-46
"CORO6",2.479390793823,0.604245248477949,91.9157245738552,9.04474538517276e-22,3.2077519993737e-21
"COX4I2",2.9394699069618,3.57260561802055,186.408849877659,1.93303630987364e-42,1.60090650254627e-41
"CPA3",1.63680127008417,3.53363383327193,62.1477899097658,3.18624415869506e-15,8.50140611038642e-15
"CPA4",3.50353775265056,2.57986324088936,53.8604801739585,2.15243900574157e-13,5.24778084544978e-13
"CPAMD8",-3.00225067227825,3.98692126924042,756.721459646015,1.38650957563645e-166,4.13152123348149e-164
"CPEB3",-1.17422966505863,3.46470446053944,324.271702423435,1.70000780563798e-72,4.67313953804434e-71
"CPE",1.01575421724724,8.27976054339425,33.2801906970376,7.97913091386935e-09,1.54833383023886e-08
"CPN2",-1.27102222984387,3.3835118625471,10.1517582060007,0.00144163682396029,0.00199359077781551
"CPNE5",1.98292626981291,2.96150535128722,150.172648406596,1.58936278292644e-34,9.55991768381956e-34
"CPNE6",-7.34066528499389,0.551301635289137,267.988233357251,3.11437562353322e-60,5.51737008502038e-59
"CPNE7",2.12281920752858,1.62279559541295,55.2097323877866,1.08331019712423e-13,2.68556383143991e-13
"CPVL",-1.35305045017328,6.70464293540681,146.72823589025,8.99788787758418e-34,5.24900279906526e-33
"CP",4.06548385246378,9.16425796815809,146.873879391075,8.36184085334563e-34,4.88693573396747e-33
"CR1",-2.10061968171638,2.77202181707407,166.567361485919,4.1584628873645e-38,2.87363423255851e-37
"CR2",-3.86670336176815,1.14604589219279,153.944588509289,2.38143369709974e-35,1.48207939235961e-34
"CRB2",-3.15841936133003,2.98125417466544,256.338377695733,1.07816137589677e-57,1.71986363377793e-56
"CREB3L3",2.6104404354545,4.49535200424064,67.5760682430764,2.02713234093295e-16,5.71146837132375e-16
"CREB5",1.80289533519133,5.38012964282313,201.686540536066,8.94949511060232e-46,8.52548130772788e-45
"CRHBP",-3.9927411886015,2.75073243627864,542.150041733783,6.42239733455337e-120,6.88397826528853e-118
"CRHR1",2.28612228048724,0.142225826318813,9.5364385890976,0.0020143222495886,0.00275409628307062
"CRIP1",1.31264533476236,6.48210553910921,77.3934471086998,1.40079186752144e-18,4.36984883463191e-18
"CRIP3",1.33379167386292,0.419627549841379,31.3753076723481,2.12668434129682e-08,4.03379630820895e-08
"CRLF3",1.11455914842511,4.2003153316461,326.04886962567,6.97211155589879e-73,1.95258439983714e-71
"CROCCL2",1.68469873204181,1.94177373966911,141.889750365898,1.0279881121549e-32,5.76005824858812e-32
"CROT",-1.14299798106438,4.47518313077138,390.370771481111,6.87321545735153e-87,3.0118834440906e-85
"CRP",7.31066075777543,2.96424578964642,72.3294970572731,1.8210499130046e-17,5.3822302427803e-17
"CRTAM",3.95328089592595,1.51965592636517,277.381110098176,2.79451883672677e-62,5.35161133012752e-61
"CRTC1",-1.02462258050524,4.61889013745024,265.357066880815,1.16640209349183e-59,2.03016644753911e-58
"CRYAA",-4.04359097709188,3.75577774701986,162.14444636913,3.84708258125221e-37,2.558825150807e-36
"CRYGS",3.49186201919403,0.908392576958771,158.678179510986,2.20017620243816e-36,1.41538969085174e-35
"CRYL1",-1.06210327731427,7.5452095300278,144.147026413127,3.29948251483524e-33,1.8856536244162e-32
"CRYM",-1.14977646966489,4.11474821619231,54.2410922869256,1.77339238388352e-13,4.34211555094175e-13
"CSAD",1.71145432423044,4.10983743604817,108.880036210345,1.72411178352851e-25,7.18331696386782e-25
"CSDAP1",1.50658578628984,1.85426887959753,208.748447584965,2.57586362730564e-47,2.61073416212426e-46
"CSDA",1.50733857602118,7.96217711823505,293.113413670201,1.04275893486773e-65,2.24834520558529e-64
"CSDC2",-1.58426768653411,4.41844354724891,42.9221424805253,5.69622724821858e-11,1.23247298535011e-10
"CSF1R",1.56521252530469,6.71006423856796,128.053530333874,1.09256117857804e-29,5.42240806117061e-29
"CSF2RA",2.17061984961034,3.52754999644155,237.258705615139,1.55755753181864e-53,2.05000438750582e-52
"CSF2RB",1.39775183009333,4.01796613902114,127.551782487181,1.40682018250101e-29,6.94736953897333e-29
"CSF3R",2.72409444527773,4.0426771610779,274.09460925287,1.45388944776795e-61,2.69421627889238e-60
"CSMD1",-1.32188172922544,1.29214864085095,34.5439482281598,4.16735168526329e-09,8.22920778777174e-09
"CSMD2",1.41496442960415,0.830068353792731,57.330824569761,3.68336983887443e-14,9.34579823388795e-14
"CSNK1E",1.02446915732639,6.4072078711065,228.351738367431,1.36397517651339e-51,1.67120609826258e-50
"CSPG4",2.54313923847172,7.89556716300545,258.992331422643,2.84554486138926e-58,4.68979788604408e-57
"CST7",3.25344786906865,3.87424197664301,246.334160207977,1.63549422119848e-55,2.34300273092656e-54
"CSTA",3.01401494040997,2.01521188731453,271.196973647365,6.22352103900012e-61,1.12940608964754e-59
"CTDSPL",-1.0573008834804,6.21202516301537,225.275803863011,6.39229237493731e-51,7.61910112753528e-50
"CTF1",-1.40809791485976,3.28207698907309,157.17021384025,4.69846575076726e-36,2.98772689802311e-35
"CTGF",-1.37412083242273,7.99248206849784,122.899167671821,1.46718819196993e-28,6.93956726100316e-28
"CTHRC1",3.43295979133408,4.85177755141095,161.145312370537,6.35940941396982e-37,4.18686879623228e-36
"CTH",-1.74725890090519,2.24309762738025,288.317384607409,1.15660907847078e-64,2.39670635050572e-63
"CTLA4",3.80587838056492,0.840513551291061,201.193131645719,1.14674708016297e-45,1.08754836074781e-44
"CTNNAL1",-1.25813047720247,4.9213498209554,234.991866262359,4.86126590065226e-53,6.25457691311036e-52
"CTSE",3.08670115041864,2.12685346798841,57.7300718230106,3.00670813755207e-14,7.66414791127259e-14
"CTSH",-1.35694870535431,7.42083969160533,300.630312726293,2.40130834306472e-67,5.5382496909166e-66
"CTSK",1.58529933797834,5.59203289583089,32.1263268605927,1.44466316876594e-08,2.76303421713014e-08
"CTSL2",-2.58438835087168,1.46333929053318,223.813990798743,1.33194607706148e-50,1.56380335714255e-49
"CTSS",2.15567604800167,7.39805500723272,238.994389268627,6.51591528477114e-54,8.68341876814e-53
"CTSW",3.17191119424684,3.88224098352354,246.071962231255,1.86558050232631e-55,2.66493613654455e-54
"CTSZ",1.19938664318065,8.23556148217794,179.289176222912,6.92825152327444e-41,5.34285814934088e-40
"CTXN3",-3.15345596828726,2.53349269177969,82.1618127035326,1.25389222181346e-19,4.07631250552013e-19
"CUZD1",1.88946785346764,0.337290477766187,122.576747818904,1.72607590698751e-28,8.14596291992619e-28
"CWH43",-2.18569496414083,2.33808413493948,31.9828839362569,1.55536989675141e-08,2.96850231987317e-08
"CX3CR1",1.83356167771297,4.72607489668355,94.5156291730319,2.43164868386472e-22,8.83421939548901e-22
"CXCL10",3.67750320305173,5.25353928176873,237.723028401407,1.23366328199794e-53,1.62946358497228e-52
"CXCL11",3.91381886603726,3.19168358742159,226.994866334469,2.69606588797722e-51,3.25516091288271e-50
"CXCL12",-1.15379294959341,6.96095589121329,81.5764336492537,1.68612785044533e-19,5.45529182275462e-19
"CXCL13",4.9575541274631,3.0053725794188,126.106882904572,2.91360625721904e-29,1.41908530978446e-28
"CXCL1",1.41875355297074,3.58265704599702,22.8775637123713,1.72655478538149e-06,2.90469057671621e-06
"CXCL2",1.80673875851896,3.26678706254237,54.6876564789022,1.41290931794999e-13,3.48121976651842e-13
"CXCL5",5.4533774275382,3.72142091273569,107.627889873326,3.24289480736442e-25,1.33506188822665e-24
"CXCL6",1.12686990727341,3.36079574180374,8.51239369776943,0.00352735759704093,0.00473503025842984
"CXCL9",3.92895546056999,6.5174104186019,220.675699941522,6.44165125627263e-50,7.37695327188362e-49
"CXCR1",1.48481782765436,0.358083366054076,43.4643614217574,4.31751326677358e-11,9.40035513103311e-11
"CXCR2P1",5.26386742559756,2.10970433561595,213.237330276473,2.7014515142695e-48,2.86265477319355e-47
